Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Space People Occupant Count [](TimeStep),SPACE2-1:Space People Occupant Count [](TimeStep),SPACE3-1:Space People Occupant Count [](TimeStep),SPACE4-1:Space People Occupant Count [](TimeStep),SPACE5-1:Space People Occupant Count [](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 08/30  15:15:00,29.975,11.0,5.0,11.0,5.0,20.0,29.162508433874375,24.997365893250052,24.99729727482957,24.99733681851842,24.99726223777401,24.99706455113411,5.18783147626354,5.163887038663887,5.191916957703754,5.16032933371045,5.542034936207486 
 08/30  15:30:00,30.15,11.0,5.0,11.0,5.0,20.0,29.217560928516527,24.997314020409686,24.99724178241277,24.99728562460138,24.997211357865364,24.996982382262175,5.198496631272974,5.174529719484752,5.200723443885678,5.167746998591724,5.541776301772856 
 08/30  15:45:00,30.325,11.0,5.0,11.0,5.0,20.0,29.222740682296134,24.997202051610522,24.997155304034802,24.997202611620168,24.997059787078914,24.9968658003382,5.156474482293419,5.154233596298752,5.17635859682764,5.10790643428237,5.483862201404847 
 08/30  16:00:00,30.5,11.0,5.0,11.0,5.0,20.0,29.203591782515016,24.997107950765965,24.99708868690375,24.99713897836994,24.99693185006555,24.99678323945055,5.112152053653318,5.12778173812471,5.146187517246105,5.058150121840129,5.4233939835776965 
 08/30  16:15:00,30.45,11.0,5.0,11.0,5.0,20.0,29.271691507735465,24.997281872311525,24.99728159127135,24.997342613544962,24.99707906720094,24.997077419250594,5.080692143918199,5.109914044236291,5.126359026675985,5.026969284038671,5.378671489182608 
 08/30  16:30:00,30.4,11.0,5.0,11.0,5.0,20.0,29.27716104017839,24.997181343394796,24.99721023017258,24.997274033305132,24.99696405290524,24.997000587875416,5.035943761088518,5.07554625996768,5.088198917303188,5.00177880783923,5.296160223308888 
 08/30  16:45:00,30.35,11.0,5.0,11.0,5.0,20.0,29.265794710241313,24.99724809785446,24.9972349096761,24.997298380983924,24.997108568948,24.997003744913762,5.056313054144027,5.096550475438278,5.111151822728871,5.012259456850558,5.331869437252067 
 08/30  17:00:00,30.3,11.0,5.0,11.0,5.0,20.0,29.275560449241976,24.997311539983727,24.99725874265291,24.997320652611243,24.997234171289442,24.996995363650903,5.086244585812153,5.128192985356293,5.145081067451784,5.032416682350529,5.375344242045813 
 08/30  17:15:00,30.125,11.0,5.0,11.0,5.0,20.0,29.300977793097783,24.997388440776227,24.997294771634017,24.99735473142239,24.997350963513103,24.99700274595013,5.150552329513843,5.185625241852165,5.206043227320947,5.0841340196301275,5.45801673221257 
 08/30  17:30:00,29.950000000000003,11.0,5.0,11.0,5.0,20.0,29.332300849571034,24.997455368040082,24.997322374779944,24.99738100212693,24.997445613260936,24.997005568858896,5.264730674214093,5.275910074071376,5.300885273636709,5.194374551401992,5.58128957672416 
 08/30  17:45:00,29.775000000000002,11.0,5.0,11.0,5.0,20.0,29.34165870782125,24.997387600776147,24.997265244167075,24.997325826072295,24.997360758037313,24.99691644816288,5.309640499340901,5.327319042335105,5.354725655883627,5.230173944010772,5.627763938254986 
 08/30  18:00:00,29.6,11.0,5.0,11.0,5.0,20.0,29.326157681721345,24.997300441357215,24.997187859313506,24.997250044687068,24.997255288681274,24.99681302033349,5.359109973729531,5.376880387840018,5.405356110241115,5.273014745998054,5.676094316558704 
 08/30  18:15:00,29.375000000000004,5.5,2.5,5.5,2.5,10.0,29.329545564134957,24.997979853886278,24.997924461143718,24.99798843473041,24.997898962021686,24.997843721311927,5.650607929604902,5.678738734137241,5.714001426600262,5.541352795490724,6.026096260631078 
 08/30  18:30:00,29.15,5.5,2.5,5.5,2.5,10.0,29.336402075984843,24.998087895438797,24.99804130644976,24.998093538327893,24.998011597587148,24.997944887023404,5.824470862623528,5.849127838729373,5.88033258199728,5.711080480917772,6.155632764593932 
 08/30  18:45:00,28.924999999999997,5.5,2.5,5.5,2.5,10.0,29.30511690315951,24.998188404263203,24.998153185639882,24.998194729271585,24.99811598637374,24.997997728502177,5.939985438128787,5.976944535659825,6.0066064288327965,5.811970405594877,6.247893120045305 
 08/30  19:00:00,28.7,5.5,2.5,5.5,2.5,10.0,29.281126537828104,24.998385919467164,24.99832222733754,24.998355713657066,24.998368080797686,24.998122285565568,6.237334838003335,6.225120314567604,6.2598275144662665,6.154547195864097,6.520991196125706 
